               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.016863,            0.028517,           0.0017421,              0.9917,              0.9842,             0.99381,              0.9185,            0.012896,            0.023911,           0.0014082,            0.003268,            0.003268,            0.003268
                  70,            0.016706,            0.029299,           0.0018071,             0.98974,             0.98748,             0.99382,                0.91,            0.013701,            0.024537,           0.0013532,            0.003169,            0.003169,            0.003169
                  71,             0.01656,            0.028604,           0.0015922,              0.9845,             0.98048,             0.99257,             0.91439,            0.012619,            0.024811,           0.0015779,             0.00307,             0.00307,             0.00307
                  72,            0.017133,            0.028932,           0.0016863,             0.98864,             0.98544,             0.99288,             0.93037,            0.012114,            0.024114,           0.0014406,            0.002971,            0.002971,            0.002971
                  73,            0.016381,            0.027974,           0.0016097,             0.98864,             0.98587,             0.99332,             0.91986,            0.013134,            0.024667,           0.0014084,            0.002872,            0.002872,            0.002872
                  74,            0.015598,            0.025983,           0.0014656,             0.99109,             0.98779,             0.99371,             0.92914,            0.011853,            0.022743,           0.0012487,            0.002773,            0.002773,            0.002773
                  75,            0.016451,            0.027933,            0.001604,             0.99341,             0.99064,             0.99395,              0.9314,            0.012115,            0.023285,           0.0012334,            0.002674,            0.002674,            0.002674
                  76,            0.016035,            0.027711,           0.0014894,             0.98669,             0.99169,              0.9943,             0.93229,             0.01217,            0.023565,           0.0012486,            0.002575,            0.002575,            0.002575
                  77,            0.015469,            0.026287,           0.0015783,             0.99023,             0.98959,             0.99409,             0.93823,            0.011817,            0.022769,           0.0011974,            0.002476,            0.002476,            0.002476
                  78,            0.015173,             0.02638,           0.0015035,             0.99245,             0.98745,             0.99417,             0.94625,            0.011713,            0.023003,            0.001227,            0.002377,            0.002377,            0.002377
                  79,            0.015346,            0.027131,           0.0014727,             0.99291,             0.98545,             0.99389,             0.93584,            0.011799,            0.023047,           0.0011795,            0.002278,            0.002278,            0.002278
                  80,            0.015274,            0.027469,           0.0016087,             0.99303,             0.98753,             0.99393,             0.93623,            0.011361,            0.021949,           0.0011672,            0.002179,            0.002179,            0.002179
                  81,            0.015326,            0.026731,           0.0014915,             0.99321,             0.98743,             0.99386,             0.93587,            0.011702,            0.022165,            0.001193,             0.00208,             0.00208,             0.00208
                  82,            0.014813,            0.026043,            0.001503,             0.99322,             0.98946,             0.99393,             0.94161,            0.011296,            0.021494,           0.0011725,            0.001981,            0.001981,            0.001981
