               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.018409,            0.037946,           0.0021861,             0.98618,             0.99115,             0.99328,             0.91396,            0.013515,            0.028597,           0.0015477,            0.003565,            0.003565,            0.003565
                  67,            0.018715,            0.039009,           0.0022804,             0.98671,             0.98963,             0.99179,             0.91808,            0.013582,            0.029296,           0.0016449,            0.003466,            0.003466,            0.003466
                  68,            0.018663,            0.038743,           0.0021201,             0.98905,             0.99354,             0.99262,             0.90777,             0.01453,            0.029779,           0.0015768,            0.003367,            0.003367,            0.003367
                  69,            0.018225,            0.037606,           0.0021738,             0.98948,              0.9905,             0.99265,             0.91838,            0.013622,             0.02977,           0.0015693,            0.003268,            0.003268,            0.003268
                  70,            0.017894,            0.038734,           0.0020376,             0.98964,             0.98789,             0.99361,             0.90777,            0.013533,            0.028599,           0.0015174,            0.003169,            0.003169,            0.003169
                  71,            0.018244,            0.037893,           0.0021434,             0.98672,             0.98585,              0.9911,             0.91596,             0.01342,            0.029066,           0.0017251,             0.00307,             0.00307,             0.00307
                  72,            0.018333,            0.037946,           0.0020812,             0.98871,              0.9835,             0.99008,             0.91678,            0.013175,            0.029339,           0.0017755,            0.002971,            0.002971,            0.002971
                  73,            0.017851,            0.037511,           0.0019479,             0.98587,             0.98823,             0.99238,             0.92365,            0.013487,             0.02781,           0.0015814,            0.002872,            0.002872,            0.002872
                  74,            0.017169,            0.034832,           0.0019628,             0.98531,             0.99184,             0.99362,             0.91596,             0.01324,            0.028507,           0.0015008,            0.002773,            0.002773,            0.002773
                  75,            0.017198,            0.036379,           0.0019396,             0.99165,             0.99482,             0.99411,             0.92883,             0.01266,            0.027343,           0.0013612,            0.002674,            0.002674,            0.002674
                  76,            0.017235,            0.036758,           0.0020293,             0.99279,             0.99199,              0.9937,             0.92567,            0.012804,            0.027299,           0.0013739,            0.002575,            0.002575,            0.002575
                  77,            0.016848,            0.035085,           0.0018971,             0.99289,             0.98724,             0.99352,              0.9357,            0.012479,            0.026852,            0.001372,            0.002476,            0.002476,            0.002476
                  78,            0.016453,            0.034356,           0.0017756,              0.9914,             0.99262,              0.9929,             0.92886,            0.012552,            0.027126,           0.0013564,            0.002377,            0.002377,            0.002377
                  79,             0.01674,            0.035675,           0.0019029,             0.99052,             0.99065,             0.99229,             0.92184,            0.012302,            0.027016,           0.0014119,            0.002278,            0.002278,            0.002278
                  80,            0.016706,             0.03525,           0.0019039,             0.99087,             0.98397,             0.99232,             0.92385,            0.012449,            0.026498,           0.0014715,            0.002179,            0.002179,            0.002179
                  81,            0.016537,            0.035674,           0.0019772,              0.9941,             0.99041,              0.9933,             0.93609,            0.012253,            0.025898,           0.0013321,             0.00208,             0.00208,             0.00208
                  82,            0.016079,            0.034613,            0.001841,             0.99031,             0.99264,             0.99186,             0.93501,            0.012184,            0.026644,           0.0014469,            0.001981,            0.001981,            0.001981
                  83,            0.016389,            0.033582,           0.0018579,              0.9883,             0.99273,              0.9922,             0.94042,            0.012155,            0.026559,            0.001443,            0.001882,            0.001882,            0.001882
                  84,            0.015938,            0.034592,           0.0017914,             0.99091,             0.99258,             0.99375,             0.94158,            0.011624,            0.024894,           0.0013172,            0.001783,            0.001783,            0.001783
                  85,            0.015838,            0.034337,           0.0016775,             0.98853,             0.99462,             0.99425,              0.9389,            0.012008,             0.02562,           0.0012418,            0.001684,            0.001684,            0.001684
                  86,            0.015387,            0.032393,           0.0017413,             0.98928,             0.99014,             0.99314,             0.93783,            0.012119,            0.026175,           0.0013295,            0.001585,            0.001585,            0.001585
                  87,            0.015418,              0.0334,           0.0018184,             0.98868,             0.99456,             0.99342,             0.94011,            0.011703,            0.025932,           0.0013146,            0.001486,            0.001486,            0.001486
                  88,            0.015862,            0.034145,            0.001926,             0.98878,               0.992,             0.99372,             0.94076,            0.011553,            0.025082,           0.0012629,            0.001387,            0.001387,            0.001387
                  89,            0.015498,            0.035185,           0.0018742,             0.98708,              0.9938,              0.9929,             0.94218,            0.011812,            0.026427,           0.0013508,            0.001288,            0.001288,            0.001288
                  90,            0.014976,            0.032708,            0.001737,             0.98683,             0.99186,             0.99237,             0.94253,            0.011824,            0.025016,           0.0013553,            0.001189,            0.001189,            0.001189
                  91,            0.014587,            0.030635,            0.001545,             0.98834,             0.99073,              0.9928,             0.94694,            0.011481,            0.024543,            0.001356,             0.00109,             0.00109,             0.00109
                  92,            0.015277,            0.033546,           0.0018223,             0.98683,             0.99118,              0.9935,             0.94777,            0.011356,             0.02449,            0.001332,            0.000991,            0.000991,            0.000991
                  93,            0.015009,            0.032264,            0.001803,             0.98894,             0.99111,             0.99335,             0.94755,            0.011479,            0.024599,           0.0013081,            0.000892,            0.000892,            0.000892
                  94,            0.014949,            0.032873,           0.0017787,             0.99291,             0.98163,             0.99297,             0.94755,            0.011433,            0.024376,           0.0013883,            0.000793,            0.000793,            0.000793
                  95,            0.014468,            0.030212,           0.0016044,             0.98972,             0.98918,             0.99282,             0.94878,            0.011395,            0.024813,           0.0013079,            0.000694,            0.000694,            0.000694
                  96,             0.01447,             0.03127,           0.0016687,             0.99249,             0.98498,             0.99258,             0.94736,            0.011465,            0.024931,           0.0013404,            0.000595,            0.000595,            0.000595
                  97,            0.014775,            0.032732,           0.0015568,             0.98767,             0.99286,             0.99224,             0.94853,            0.011263,            0.024399,           0.0013492,            0.000496,            0.000496,            0.000496
                  98,            0.014375,            0.031208,           0.0016239,             0.98899,             0.99161,             0.99239,              0.9494,            0.011324,            0.024586,           0.0013455,            0.000397,            0.000397,            0.000397
                  99,            0.014378,            0.031585,           0.0016328,             0.98663,             0.99108,             0.99244,             0.95014,            0.011217,            0.024429,            0.001337,            0.000298,            0.000298,            0.000298
